strategy,scenario,step,selected_behavior,base_priority,emotional_modifier,final_priority,dominant_emotion,dominant_value,valence,arousal,matches_expected
emotion_modulated,peaceful_village,0,JoyfulBehavior,50,0,50,joy,0.700,0.186,0.162,false
emotion_modulated,peaceful_village,1,ConfusedBehavior,15,0,15,trust,0.500,0.129,0.112,false
emotion_modulated,peaceful_village,2,JoyfulBehavior,50,0,50,joy,0.800,0.214,0.188,true
fixed_priority,peaceful_village,0,FriendlyBehavior { min_valence: 0.3 },60,0,60,joy,0.700,0.186,0.162,true
fixed_priority,peaceful_village,1,JoyfulBehavior,50,0,50,trust,0.500,0.129,0.112,false
fixed_priority,peaceful_village,2,FriendlyBehavior { min_valence: 0.3 },60,0,60,joy,0.800,0.214,0.188,true
random_selection,peaceful_village,0,FriendlyBehavior { min_valence: 0.3 },60,0,60,joy,0.700,0.186,0.162,true
random_selection,peaceful_village,1,DefaultAcknowledgeBehavior,10,0,10,trust,0.500,0.129,0.112,false
random_selection,peaceful_village,2,FriendlyBehavior { min_valence: 0.3 },60,0,60,joy,0.800,0.214,0.188,true
emotion_modulated,threatening_situation,0,ThoughtfulPauseBehavior,12,0,12,fear,0.500,-0.014,0.112,false
emotion_modulated,threatening_situation,1,FleeBehavior { fear_threshold: 0.7 },100,50,150,fear,0.850,-0.121,0.144,true
emotion_modulated,threatening_situation,2,FleeBehavior { fear_threshold: 0.7 },100,50,150,fear,0.950,-0.136,0.206,true
fixed_priority,threatening_situation,0,FleeBehavior { fear_threshold: 0.7 },100,0,100,fear,0.500,-0.014,0.112,true
fixed_priority,threatening_situation,1,FleeBehavior { fear_threshold: 0.7 },100,50,150,fear,0.850,-0.121,0.144,true
fixed_priority,threatening_situation,2,FleeBehavior { fear_threshold: 0.7 },100,50,150,fear,0.950,-0.136,0.206,true
random_selection,threatening_situation,0,DefaultAcknowledgeBehavior,10,0,10,fear,0.500,-0.014,0.112,false
random_selection,threatening_situation,1,FleeBehavior { fear_threshold: 0.7 },100,50,150,fear,0.850,-0.121,0.144,true
random_selection,threatening_situation,2,DefaultAcknowledgeBehavior,10,0,10,fear,0.950,-0.136,0.206,false
emotion_modulated,provocative_interaction,0,ThoughtfulPauseBehavior,12,0,12,anger,0.300,-0.071,0.062,false
emotion_modulated,provocative_interaction,1,AggressiveBehavior { anger_threshold: 0.6 },80,0,80,anger,0.600,-0.143,0.125,true
