pattern,strategy,turn,player_action,intent_type,joy_before,trust_before,fear_before,surprise_before,sadness_before,disgust_before,anger_before,anticipation_before,valence_before,arousal_before,dominant_emotion_before,selected_behavior,behavior_type,base_priority,emotional_modifier,effective_priority,priority_override,joy_after,trust_after,fear_after,surprise_after,sadness_after,disgust_after,anger_after,anticipation_after,valence_after,arousal_after,dominant_emotion_after
Escalating Aggression,emotion_modulated,1,Player asks neutral question about the area (turn 1),Query,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation
Escalating Aggression,emotion_modulated,2,Player asks neutral question about the area (turn 2),Query,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation
Escalating Aggression,emotion_modulated,3,Player asks neutral question about the area (turn 3),Query,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation
Escalating Aggression,emotion_modulated,4,Player asks neutral question about the area (turn 4),Query,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation
Escalating Aggression,emotion_modulated,5,Player asks neutral question about the area (turn 5),Query,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation
Escalating Aggression,emotion_modulated,6,Player asks neutral question about the area (turn 6),Query,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation
Escalating Aggression,emotion_modulated,7,Player asks neutral question about the area (turn 7),Query,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation
Escalating Aggression,emotion_modulated,8,Player asks neutral question about the area (turn 8),Query,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation
Escalating Aggression,emotion_modulated,9,Player asks neutral question about the area (turn 9),Query,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation
Escalating Aggression,emotion_modulated,10,Player asks neutral question about the area (turn 10),Query,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,anticipation
Escalating Aggression,emotion_modulated,11,Player insults NPC's intelligence/appearance (turn 11),Hostile,0.000,0.000,0.100,0.000,0.000,0.000,-0.100,0.000,0.000,0.025,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.100,0.000,0.000,0.000,-0.100,0.000,0.000,0.025,anger
Escalating Aggression,emotion_modulated,12,Player insults NPC's intelligence/appearance (turn 12),Hostile,0.000,0.000,0.190,0.000,0.000,0.000,-0.190,0.000,0.000,0.048,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.190,0.000,0.000,0.000,-0.190,0.000,0.000,0.048,anger
Escalating Aggression,emotion_modulated,13,Player insults NPC's intelligence/appearance (turn 13),Hostile,0.000,0.000,0.271,0.000,0.000,0.000,-0.271,0.000,0.000,0.068,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.271,0.000,0.000,0.000,-0.271,0.000,0.000,0.068,anger
Escalating Aggression,emotion_modulated,14,Player insults NPC's intelligence/appearance (turn 14),Hostile,0.000,0.000,0.344,0.000,0.000,0.000,-0.344,0.000,0.000,0.086,anger,ThoughtfulPauseBehavior,neutral,12,0,12,false,0.000,0.000,0.344,0.000,0.000,0.000,-0.344,0.000,0.000,0.086,anger
